Efficiency,EMAIL,KNOWLEDGEBASE
11600.0,20,0
10142.0,0,29
10200.0,27,10
11371.0,12,2
9442.0,21,23
9488.0,22,26
11678.0,14,0
9846.0,27,14
9800.0,5,24
10800.0,13,5
9533.0,23,20
10000.0,27,13
9524.0,24,28
9444.0,20,25
9926.0,17,12
10245.0,1,16
11000.0,27,4
10200.0,8,12
11600.0,19,0
9600.0,16,19
10111.0,0,29
9472.0,21,21
9800.0,10,17
9476.0,21,27
9673.0,15,17
10000.0,2,29
10200.0,27,10
10887.0,7,6
9845.0,5,29
10223.0,8,11
9544.0,27,24
10756.0,24,5
9600.0,23,20
11075.0,0,8
10692.0,20,5
10800.0,2,9
9500.0,23,21
9907.0,29,14
9471.0,17,22
11375.0,12,2
10200.0,15,10
10544.0,9,8
10634.0,4,9
9861.0,13,14
9600.0,12,29
11000.0,8,5
10461.0,16,7
11411.0,19,1
9445.0,17,26
9822.0,5,20
11754.0,2,3
11015.0,23,3
10800.0,26,5
10846.0,17,4
10421.0,6,10
10000.0,28,13
10600.0,14,6
9600.0,27,28
10600.0,15,6
11624.0,3,3
9600.0,10,25
9490.0,23,22
11515.0,5,3
10400.0,2,13
10013.0,28,12
9882.0,8,16
9500.0,19,20
9646.0,9,28
9600.0,13,21
9877.0,10,15
9800.0,7,19
11600.0,7,2
9800.0,11,16
10269.0,0,17
10600.0,17,6
9509.0,25,27
9516.0,15,21
9834.0,13,14
9890.0,28,14
9494.0,25,23
11400.0,4,4
9494.0,21,27
9478.0,17,22
9800.0,5,23
12141.0,5,0
11704.0,5,2
10331.0,20,8
9800.0,7,19
9523.0,13,25
9518.0,22,29
9600.0,12,24
10400.0,26,8
9755.0,14,16
9600.0,21,17
9553.0,24,20
9625.0,9,25
11898.0,5,1
9683.0,8,21
9858.0,19,13
10000.0,1,25
11082.0,16,3
10000.0,16,12
9615.0,23,17
9909.0,25,13
9484.0,21,22
11317.0,13,2
11645.0,23,0
10000.0,12,13
9600.0,10,26
9688.0,28,17
9608.0,9,21
10000.0,28,13
9800.0,6,29
11781.0,12,0
10203.0,28,10
10200.0,1,17
11000.0,13,4
9695.0,23,16
10566.0,6,9
10275.0,25,9
9800.0,15,15
10000.0,20,11
10400.0,27,8
9923.0,22,12
9800.0,14,15
10800.0,27,5
9612.0,14,18
11927.0,2,2
9453.0,23,25
10109.0,23,10
9890.0,25,13
10600.0,0,12
10200.0,0,18
9600.0,23,19
10304.0,7,11
9800.0,14,15
9909.0,3,24
9803.0,6,19
9754.0,28,16
10600.0,18,6
11000.0,12,4
11334.0,27,2
10722.0,5,8
9842.0,18,13
10551.0,9,8
9600.0,28,23
10507.0,26,7
9800.0,7,19
11222.0,16,2
9831.0,4,21
10000.0,14,12
10400.0,19,8
10200.0,24,10
9717.0,19,15
12000.0,7,0
11015.0,20,3
10100.0,2,17
11172.0,5,5
9600.0,24,18
11203.0,20,2
9600.0,27,20
9688.0,8,27
9818.0,22,13
10200.0,8,12
9525.0,14,27
9474.0,21,26
