Efficiency,EMAIL,PHONE
10400.0,9,24
10608.0,3,17
11829.0,29,0
10532.0,17,9
10289.0,9,21
10301.0,9,20
10200.0,24,15
10142.0,15,21
10400.0,8,22
10516.0,11,29
10090.0,18,19
10346.0,29,14
12184.0,2,1
11068.0,0,12
10804.0,29,7
10124.0,22,21
10800.0,29,8
10200.0,15,15
12147.0,5,0
10489.0,13,10
10318.0,14,13
10223.0,20,26
10532.0,28,29
10771.0,1,17
10200.0,24,24
10336.0,9,22
10108.0,18,21
10425.0,14,29
10973.0,11,6
10800.0,1,22
10130.0,17,19
10322.0,25,27
11200.0,15,3
10200.0,12,22
11600.0,27,1
11070.0,25,4
10946.0,1,27
10898.0,18,5
10600.0,24,8
10200.0,24,16
10400.0,6,21
10300.0,27,14
10692.0,27,8
10235.0,12,24
10400.0,23,28
10454.0,26,29
11032.0,3,9
10255.0,25,25
11660.0,17,0
10400.0,18,28
10486.0,7,25
11096.0,0,28
10800.0,1,16
10400.0,22,11
10156.0,22,23
10962.0,2,28
10600.0,9,11
10200.0,27,22
11271.0,27,3
11446.0,8,3
10961.0,2,28
11121.0,5,7
10800.0,9,8
12135.0,5,0
10722.0,12,8
10129.0,19,23
10414.0,21,10
12388.0,0,1
10128.0,23,17
10219.0,22,26
10828.0,14,6
11463.0,8,3
10400.0,19,10
10611.0,9,10
10743.0,2,24
10400.0,10,14
10348.0,8,19
10800.0,29,8
10243.0,17,26
10467.0,24,10
10279.0,10,19
10200.0,18,14
10516.0,5,23
10670.0,5,13
10600.0,8,28
11839.0,2,3
11200.0,5,6
10453.0,23,10
10486.0,29,11
11000.0,24,5
10600.0,14,9
10290.0,12,25
10400.0,24,11
10335.0,28,14
11000.0,0,13
10566.0,6,14
10334.0,10,24
10068.0,19,20
10421.0,8,15
12118.0,1,2
10231.0,29,19
10828.0,3,12
10200.0,13,17
10429.0,9,13
10874.0,19,5
11013.0,17,4
10284.0,11,23
12496.0,1,0
10404.0,21,29
11045.0,1,29
10234.0,10,20
12189.0,0,2
10645.0,15,8
11140.0,0,11
10820.0,10,7
10200.0,23,15
10099.0,16,21
12112.0,3,1
10297.0,29,24
10730.0,3,14
11400.0,6,4
10217.0,12,22
10400.0,8,23
10800.0,2,14
10067.0,20,19
10600.0,8,28
11800.0,28,0
10200.0,26,20
10492.0,5,19
11934.0,1,3
10317.0,13,26
10400.0,28,27
10200.0,17,23
10495.0,5,21
10287.0,24,13
10409.0,19,10
10200.0,15,16
10400.0,7,18
10442.0,8,14
11861.0,9,0
10400.0,13,28
10200.0,26,22
10800.0,1,22
10600.0,10,29
11015.0,2,10
11007.0,9,6
10089.0,18,20
10715.0,12,8
10907.0,11,6
10768.0,2,14
10139.0,18,18
10283.0,29,16
10400.0,13,12
10400.0,14,28
10855.0,3,28
10400.0,18,11
10200.0,24,16
10712.0,4,13
10308.0,28,14
10089.0,17,19
12108.0,1,2
10200.0,12,20
10200.0,15,16
10200.0,17,23
10771.0,6,11
10656.0,2,20
10213.0,16,14
10200.0,27,18
10200.0,28,18
10200.0,26,18
11000.0,0,26
10645.0,6,12
11200.0,17,3
10122.0,18,19
10495.0,21,9
11000.0,1,12
11660.0,24,0
11095.0,2,9
10400.0,13,28
10919.0,16,5
11461.0,16,1
10240.0,15,14
11763.0,8,1
10200.0,23,16
10230.0,13,24
11730.0,6,2
11556.0,7,3
10600.0,3,16
10800.0,1,20
10119.0,20,18
10421.0,12,28
10238.0,29,21
10121.0,19,23
10604.0,8,29
10347.0,8,17
10600.0,17,8
10104.0,22,19
11494.0,5,4
10434.0,6,22
10415.0,20,10
11360.0,14,2
10200.0,16,15
10551.0,12,10
10357.0,14,27
10400.0,28,13
10698.0,27,8
11023.0,11,5
10293.0,20,27
10534.0,20,9
11521.0,25,1
11318.0,18,2
10294.0,20,12
10600.0,26,9
10642.0,26,8
10211.0,23,14
10811.0,8,8
10113.0,21,18
10726.0,12,8
10120.0,19,17
11093.0,0,28
11000.0,3,10
12041.0,6,0
11600.0,3,4
10800.0,6,10
10324.0,12,14
10117.0,17,18
10607.0,7,28
11000.0,21,4
10285.0,24,26
10804.0,5,10
10486.0,13,10
11011.0,19,4
10246.0,24,14
10800.0,6,10
10400.0,7,16
10128.0,21,18
10241.0,29,22
10307.0,29,15
10800.0,12,7
10508.0,5,17
10214.0,14,24
10552.0,17,9
10200.0,27,22
10203.0,28,23
10600.0,7,12
10341.0,22,12
10302.0,11,15
10407.0,9,13
10200.0,13,18
10161.0,16,22
10483.0,12,29
10200.0,26,18
11200.0,15,3
11026.0,22,4
11343.0,18,2
11800.0,28,0
10800.0,7,9
11600.0,8,2
11259.0,9,4
10147.0,20,23
10875.0,4,10
12600.0,0,0
10258.0,16,26
10356.0,19,11
10495.0,9,12
10200.0,12,21
11087.0,15,4
10453.0,7,24
10297.0,27,25
10130.0,19,17
10446.0,23,10
11206.0,26,3
10161.0,14,20
10600.0,17,8
11200.0,28,4
10145.0,25,20
10211.0,28,22
10335.0,22,12
10234.0,19,13
11800.0,1,4
11051.0,6,7
10400.0,17,29
10847.0,3,12
10466.0,24,10
10600.0,5,25
10400.0,9,14
10200.0,17,24
10135.0,25,19
11319.0,11,3
12056.0,6,0
11874.0,6,1
10206.0,18,13
10200.0,14,17
10841.0,0,16
10515.0,5,22
10400.0,25,28
10654.0,20,7
10139.0,21,20
11600.0,6,3
10141.0,15,19
10328.0,25,12
11600.0,2,5
10200.0,24,22
10400.0,26,27
10200.0,27,19
10200.0,14,17
10800.0,4,12
10400.0,27,12
11097.0,2,9
10629.0,3,24
10292.0,23,27
12380.0,0,1
10400.0,17,29
10275.0,28,15
10166.0,21,16
10087.0,20,20
10400.0,8,18
10412.0,6,18
10400.0,7,16
10687.0,4,13
10449.0,6,19
10800.0,4,28
11400.0,1,7
10600.0,14,9
10273.0,10,20
10655.0,29,9
10941.0,1,27
11200.0,14,3
10600.0,21,8
10324.0,25,12
10474.0,29,28
10300.0,21,27
10200.0,23,25
10957.0,25,5
10633.0,5,13
11720.0,4,3
10422.0,6,19
11305.0,17,2
10091.0,22,20
10437.0,11,28
10423.0,6,19
10289.0,15,13
10220.0,21,26
10918.0,5,9
11400.0,6,4
10600.0,4,23
11318.0,11,3
10476.0,29,11
10418.0,8,14
10309.0,29,15
10333.0,14,27
10095.0,17,21
10550.0,29,29
10400.0,16,28
10416.0,7,16
10707.0,22,7
10437.0,6,19
10200.0,25,16
11162.0,19,3
10152.0,25,18
10231.0,27,16
10800.0,1,15
10908.0,16,5
10200.0,19,15
10200.0,25,21
10400.0,15,11
10200.0,26,17
11309.0,21,2
10416.0,29,12
11270.0,12,3
10200.0,16,23
10200.0,22,14
10400.0,22,11
11262.0,27,3
11257.0,9,4
11000.0,25,5
10200.0,22,14
10200.0,15,16
10149.0,17,22
11000.0,1,12
10451.0,8,14
10400.0,12,12
10600.0,26,9
11785.0,5,2
10200.0,12,17
11400.0,9,3
10400.0,6,18
11027.0,22,4
10119.0,18,22
10600.0,6,13
12400.0,2,0
11466.0,16,1
10472.0,8,26
10600.0,3,18
10114.0,20,17
10200.0,27,18
10206.0,27,23
10200.0,14,23
10200.0,23,15
10926.0,0,14
11200.0,26,3
10200.0,27,17
10157.0,24,18
10840.0,26,6
10613.0,7,28
10668.0,6,28
10706.0,4,26
12053.0,6,0
10400.0,22,29
10280.0,9,21
11104.0,2,9
10400.0,29,13
10200.0,28,19
10478.0,17,10
11149.0,0,29
10200.0,24,25
10653.0,8,10
11200.0,24,3
11771.0,27,0
10696.0,27,8
11600.0,28,1
11149.0,0,29
10200.0,21,15
10400.0,15,12
10127.0,15,21
10320.0,26,14
10330.0,22,12
11600.0,28,1
11800.0,3,3
10600.0,28,9
10800.0,0,19
10200.0,27,21
10800.0,7,10
11130.0,3,8
11102.0,1,10
10200.0,20,16
10400.0,19,29
10146.0,25,18
11169.0,0,29
10749.0,6,11
10200.0,13,23
11035.0,24,4
10400.0,25,27
10207.0,25,24
10123.0,15,21
10477.0,27,29
10400.0,13,11
10108.0,16,19
12200.0,4,0
11036.0,3,9
11036.0,28,5
10336.0,16,12
10665.0,2,21
10463.0,11,28
10366.0,15,12
10338.0,26,26
10487.0,24,10
10200.0,21,25
10127.0,18,17
10200.0,15,23
10071.0,18,18
10600.0,3,20
10318.0,18,12
11410.0,28,2
11000.0,13,5
11600.0,4,4
10800.0,2,25
12276.0,1,1
10696.0,2,22
11371.0,14,2
10545.0,16,9
10200.0,26,18
10200.0,23,19
11035.0,0,12
10400.0,26,27
11411.0,2,6
10224.0,12,16
10600.0,8,12
10145.0,18,16
11000.0,1,28
10607.0,3,21
11324.0,18,2
10463.0,8,13
10618.0,3,23
11600.0,0,6
10270.0,26,14
10297.0,9,18
10800.0,22,6
11200.0,2,8
10302.0,24,26
11000.0,1,28
10530.0,4,19
10218.0,11,17
10490.0,29,28
10400.0,15,28
10600.0,6,13
10800.0,2,25
10200.0,27,21
10283.0,22,27
10259.0,14,14
10286.0,29,15
10133.0,18,17
10600.0,26,9
10218.0,21,25
10400.0,7,19
10126.0,17,20
10401.0,7,16
10200.0,17,24
11058.0,6,7
11000.0,4,9
10855.0,0,22
10461.0,8,14
10280.0,24,13
10691.0,24,7
11324.0,18,2
10600.0,8,28
11022.0,3,9
11000.0,26,5
10200.0,22,25
10147.0,17,17
10600.0,4,15
10200.0,21,25
10256.0,23,13
10227.0,24,14
10429.0,29,27
11743.0,13,0
10693.0,2,22
10116.0,20,17
10775.0,14,7
10200.0,15,15
11070.0,8,6
10429.0,6,23
11000.0,19,4
10259.0,16,13
10200.0,24,17
10458.0,28,28
11288.0,6,5
10120.0,17,17
10280.0,29,23
10881.0,20,5
10400.0,22,11
11400.0,27,2
10600.0,3,21
11311.0,6,5
10957.0,10,6
10600.0,29,10
11200.0,5,6
10800.0,1,23
10400.0,7,21
11120.0,5,7
10157.0,19,16
10400.0,20,10
10535.0,17,9
10496.0,26,10
10200.0,16,15
10546.0,23,9
11265.0,28,3
10285.0,25,13
10421.0,8,15
10113.0,20,22
10800.0,5,29
10431.0,15,10
10800.0,4,28
10200.0,17,14
10249.0,22,13
10600.0,24,8
11283.0,27,3
10747.0,5,12
10400.0,8,22
10200.0,13,18
10600.0,3,21
10944.0,1,27
10200.0,25,23
12187.0,2,1
10600.0,3,19
10446.0,7,24
10400.0,14,28
10651.0,26,8
12377.0,0,1
10218.0,28,19
11527.0,24,1
10400.0,22,11
10400.0,8,23
10820.0,16,6
10122.0,20,21
10370.0,9,16
10133.0,24,19
11600.0,19,0
10800.0,5,29
10873.0,9,7
10200.0,16,23
10200.0,24,21
10653.0,4,14
10237.0,13,15
10600.0,9,29
10800.0,2,14
10155.0,22,23
10914.0,21,5
10273.0,28,15
10265.0,11,22
10400.0,10,14
10225.0,10,20
10400.0,15,28
10101.0,23,21
10400.0,18,28
10400.0,15,28
10686.0,25,7
10305.0,29,24
10348.0,8,20
11309.0,17,2
11200.0,11,4
10600.0,6,13
10866.0,2,12
10200.0,12,21
11000.0,24,5
10400.0,26,27
10400.0,15,28
10124.0,19,22
10600.0,23,8
12391.0,0,1
10209.0,27,23
10470.0,29,28
10600.0,18,8
10693.0,21,7
10495.0,6,24
10200.0,24,18
10696.0,12,8
10750.0,5,12
11205.0,7,5
10400.0,8,22
10400.0,18,29
10275.0,17,13
10235.0,18,13
10400.0,22,29
10131.0,16,18
10200.0,18,14
11083.0,15,4
10600.0,29,10
10320.0,8,20
10496.0,11,11
10400.0,26,27
10400.0,15,12
10400.0,22,29
10245.0,12,16
10600.0,14,9
10800.0,0,19
12200.0,4,0
