Efficiency,EMAIL,PHONE
9213.0,10,19
11936.0,11,1
12377.0,10,0
9386.0,11,15
10874.0,26,0
9488.0,24,7
10316.0,16,5
9616.0,4,22
9998.0,2,19
10451.0,4,12
8684.0,15,26
9146.0,9,23
10492.0,27,1
10177.0,9,10
8569.0,18,22
9275.0,13,15
8335.0,27,18
10141.0,9,10
9826.0,16,8
8287.0,22,25
9854.0,7,14
8889.0,15,18
9450.0,25,7
10211.0,3,15
8334.0,22,22
9499.0,5,25
8594.0,27,14
9705.0,3,22
10238.0,0,19
8687.0,21,17
9534.0,5,21
9553.0,4,24
10005.0,1,20
9649.0,21,7
9179.0,28,8
9425.0,10,16
9057.0,12,20
8076.0,28,26
9240.0,8,22
8218.0,26,21
8995.0,25,10
11036.0,3,9
10619.0,18,3
9428.0,16,11
9523.0,12,13
9039.0,9,29
8743.0,16,20
9736.0,2,27
10320.0,16,5
10004.0,1,20
8943.0,17,16
8372.0,24,20
11082.0,7,6
9899.0,10,11
8622.0,15,29
8918.0,25,11
12500.0,1,4
8951.0,17,16
8451.0,21,22
8723.0,23,14
8858.0,23,13
8420.0,20,23
12678.0,6,1
11480.0,15,1
8426.0,20,27
10987.0,10,5
12144.0,7,2
9556.0,14,11
9469.0,4,29
8905.0,29,10
9281.0,7,23
11483.0,18,0
8344.0,20,29
9054.0,20,12
11219.0,21,0
9185.0,20,11
11241.0,21,0
8853.0,12,26
10404.0,13,6
8946.0,10,26
9538.0,26,6
9962.0,21,5
10086.0,15,7
9007.0,13,20
12486.0,7,1
8437.0,27,16
8225.0,24,25
9781.0,7,15
9467.0,4,27
8036.0,29,25
9170.0,17,13
8504.0,27,15
10218.0,4,14
9710.0,6,17
8989.0,13,20
11488.0,10,3
9229.0,16,13
9400.0,26,7
8252.0,26,20
8621.0,19,19
9805.0,13,10
9171.0,9,22
12502.0,7,1
10603.0,6,9
8551.0,18,23
8997.0,10,27
9359.0,5,29
9512.0,9,16
9364.0,5,29
10409.0,21,3
8079.0,28,27
10864.0,3,10
8574.0,19,20
9530.0,26,6
8741.0,16,20
9609.0,4,25
11332.0,7,5
9410.0,7,20
8211.0,24,24
8419.0,22,21
9653.0,3,24
8821.0,17,17
8228.0,26,22
9998.0,28,3
9457.0,5,24
10273.0,17,5
9500.0,9,16
10259.0,0,19
8939.0,14,19
9349.0,12,15
8870.0,24,12
9268.0,14,14
9995.0,4,16
10270.0,8,10
8774.0,13,26
9911.0,9,12
9829.0,18,7
10816.0,6,8
10525.0,19,3
10704.0,24,1
8401.0,21,22
9227.0,11,18
11350.0,5,6
10569.0,22,2
9310.0,11,16
8948.0,24,11
10467.0,20,3
8808.0,13,29
9839.0,10,12
8253.0,24,26
10933.0,0,12
9169.0,10,21
9067.0,9,27
10709.0,1,13
11884.0,9,2
9934.0,1,22
8411.0,27,17
9247.0,19,11
9578.0,3,27
8584.0,28,13
9457.0,16,11
8788.0,13,26
9593.0,11,13
8536.0,28,14
8794.0,12,28
8820.0,20,15
9802.0,13,10
10162.0,2,17
8400.0,21,24
9027.0,11,23
10033.0,10,10
9202.0,27,8
9375.0,7,21
8789.0,13,26
10753.0,12,5
9534.0,6,20
10264.0,23,3
10090.0,8,11
9888.0,8,13
10418.0,6,10
11252.0,4,7
9040.0,12,20
8658.0,22,16
8867.0,12,27
9354.0,11,16
10272.0,23,3
8108.0,27,29
9641.0,3,29
9351.0,13,14
10264.0,8,10
8877.0,21,14
10340.0,19,4
10699.0,0,14
8405.0,19,28
8078.0,28,29
9745.0,2,29
13135.0,6,0
8784.0,19,16
9461.0,5,24
8209.0,27,20
11349.0,11,3
10278.0,4,13
9638.0,7,17
8973.0,29,9
11098.0,0,11
9647.0,4,21
8663.0,26,13
10707.0,28,0
13470.0,4,0
8541.0,21,20
9610.0,6,18
8025.0,29,25
8875.0,29,10
8523.0,17,26
11688.0,13,1
10145.0,9,10
8853.0,16,18
9095.0,11,20
9730.0,4,20
10969.0,10,5
8602.0,24,15
10283.0,20,4
10643.0,13,5
8659.0,23,15
8624.0,28,13
10546.0,12,6
10243.0,0,19
11106.0,19,1
8332.0,24,21
8693.0,21,16
10439.0,5,11
13454.0,0,2
9167.0,17,13
9639.0,21,7
11320.0,7,5
8619.0,19,19
8865.0,27,11
9581.0,25,6
10822.0,19,2
8343.0,21,23
10212.0,15,6
9386.0,19,10
13136.0,6,0
10349.0,6,11
12045.0,4,4
9986.0,28,3
10030.0,23,4
11169.0,8,5
9626.0,5,20
10127.0,1,19
10603.0,21,2
11194.0,6,6
10571.0,8,8
8168.0,28,20
9294.0,28,7
9633.0,28,5
8494.0,22,19
9420.0,5,28
10392.0,13,6
12931.0,7,0
