Efficiency,EMAIL,PHONE,FACETOFACE
14583.0,2,14,19
14582.0,2,25,6
14583.0,9,28,10
14583.0,24,15,28
14583.0,28,25,27
14583.0,19,29,29
14583.0,17,9,13
14582.0,17,17,2
14583.0,20,26,6
14583.0,8,21,22
14582.0,7,1,28
14583.0,18,2,23
14583.0,6,0,10
14582.0,2,26,7
14582.0,2,5,18
14583.0,19,13,27
14583.0,26,2,19
14583.0,29,10,27
14583.0,1,14,0
14583.0,25,1,17
14583.0,11,13,2
14582.0,0,4,2
14582.0,27,12,19
14583.0,27,1,5
14582.0,23,8,12
14583.0,23,29,23
14583.0,15,5,6
14583.0,27,9,22
14583.0,23,21,23
14582.0,22,19,20
14583.0,17,11,24
14582.0,12,26,14
14583.0,25,21,15
14583.0,25,8,21
14582.0,23,7,5
14583.0,3,14,20
14582.0,28,22,26
14582.0,21,26,11
14582.0,20,2,1
14583.0,18,0,4
14583.0,20,0,24
14583.0,12,12,0
14583.0,8,9,13
14583.0,12,8,8
14583.0,26,11,9
14582.0,24,7,15
14582.0,1,22,7
14583.0,19,5,23
14583.0,25,21,5
14582.0,28,4,9
14583.0,12,18,22
14583.0,7,21,5
14582.0,26,6,22
14583.0,11,13,18
14582.0,1,24,4
14582.0,25,26,16
14583.0,12,19,3
14582.0,0,1,14
14583.0,16,9,24
14583.0,0,28,26
14583.0,22,7,8
14583.0,16,26,17
14583.0,2,16,16
14583.0,6,0,11
14582.0,1,18,25
14583.0,24,20,26
14582.0,6,15,4
14583.0,25,16,1
14582.0,28,20,6
14583.0,20,11,3
14582.0,26,18,14
14583.0,15,11,8
14583.0,3,19,0
14583.0,27,4,10
14583.0,25,19,21
14583.0,28,12,6
14582.0,1,2,14
14583.0,13,24,18
14583.0,9,10,20
14583.0,5,26,8
14583.0,6,29,20
14583.0,13,0,24
14582.0,26,16,9
14583.0,11,0,26
14583.0,3,21,22
14583.0,19,1,0
14583.0,0,27,22
14582.0,21,4,5
14582.0,1,18,18
14583.0,16,15,20
14583.0,5,12,14
14583.0,17,0,4
14582.0,2,27,6
14583.0,5,9,0
14583.0,18,21,15
14583.0,6,10,9
14583.0,12,21,9
14583.0,27,17,2
14582.0,13,8,10
14583.0,28,9,20
