Efficiency,EMAIL,PHONE,FACETOFACE,KNOWLEDGEBASE
5982.0,14,5,15,21
6916.0,9,1,5,28
7693.0,8,13,7,3
5935.0,28,2,14,21
5594.0,10,20,29,24
6101.0,19,17,11,9
6379.0,3,4,14,25
6589.0,10,11,12,9
5782.0,15,14,9,20
6053.0,19,23,9,9
6692.0,4,24,4,14
5683.0,23,5,27,27
5517.0,28,11,10,22
7847.0,25,21,2,0
5202.0,15,28,15,26
6149.0,14,5,25,18
6141.0,5,24,10,14
8284.0,1,1,11,8
5784.0,18,17,7,19
6390.0,29,6,29,9
5955.0,9,12,16,17
5241.0,20,24,12,24
6459.0,18,5,10,14
6495.0,25,15,26,3
6983.0,20,21,11,0
6266.0,11,6,28,18
5248.0,19,22,28,27
5617.0,23,16,23,13
5953.0,4,27,23,14
5454.0,13,14,21,25
7241.0,2,21,9,5
5681.0,9,9,24,29
5443.0,22,14,28,23
8128.0,14,21,2,1
6842.0,15,16,1,14
5664.0,9,28,19,16
6145.0,4,24,17,11
6503.0,13,24,19,3
6497.0,14,17,7,9
5507.0,26,8,13,24
6222.0,15,14,16,8
6885.0,24,1,27,9
6446.0,1,24,3,24
6769.0,27,14,5,6
5070.0,22,25,16,26
5537.0,12,16,29,27
7418.0,5,24,25,0
7021.0,11,5,21,7
6818.0,16,18,27,2
6226.0,29,5,20,10
6239.0,17,17,26,7
5268.0,19,20,27,26
5553.0,21,29,15,13
6601.0,14,24,29,4
7491.0,15,24,3,3
5617.0,18,20,13,15
5822.0,9,23,23,14
8361.0,13,1,18,1
6201.0,21,20,29,6
5772.0,25,21,19,8
5630.0,20,19,23,13
5513.0,19,13,9,28
6047.0,20,19,13,8
5318.0,25,26,24,16
6415.0,13,18,0,25
6500.0,4,4,11,24
6234.0,10,5,19,18
8806.0,18,1,3,5
5739.0,8,16,10,25
6213.0,29,0,18,17
6894.0,8,4,10,14
5674.0,24,24,2,29
6502.0,12,7,10,14
6613.0,24,0,22,12
6797.0,0,27,24,6
7305.0,27,6,3,8
6785.0,7,0,17,19
6335.0,24,2,13,15
7609.0,0,18,9,4
5857.0,15,6,29,27
5174.0,18,17,19,28
5736.0,21,17,5,23
5246.0,26,13,13,29
5131.0,29,16,23,26
5687.0,2,24,11,28
5691.0,2,28,14,23
5296.0,14,18,22,27
6105.0,25,26,4,12
5510.0,12,19,15,21
8077.0,7,2,25,4
5626.0,7,17,25,24
5070.0,26,17,22,27
6605.0,13,10,6,14
5915.0,22,29,27,8
7677.0,5,26,10,0
6232.0,29,25,15,2
9081.0,1,9,3,4
6859.0,2,29,6,10
5746.0,5,15,15,23
5351.0,12,22,18,23
5847.0,7,22,25,15
5946.0,28,5,14,16
5599.0,19,9,22,22
6830.0,27,12,17,0
8367.0,7,14,6,0
6185.0,18,23,1,20
5089.0,23,26,17,24
5145.0,24,23,28,26
5329.0,18,27,12,22
5171.0,27,12,22,28
5926.0,5,22,19,14
5612.0,11,20,8,26
6575.0,6,10,21,10
5643.0,5,29,27,23
6419.0,15,16,19,5
6911.0,8,1,13,16
5322.0,10,20,18,27
6408.0,14,20,4,13
6298.0,14,17,27,8
8306.0,15,11,5,0
6541.0,7,15,20,7
7010.0,15,10,5,9
6411.0,18,5,21,11
5739.0,4,24,17,18
7384.0,10,6,9,7
7441.0,4,20,23,0
6436.0,7,8,20,13
6195.0,19,27,11,6
6202.0,17,17,0,29
6645.0,14,15,10,6
6018.0,28,1,13,21
6045.0,15,22,15,8
5947.0,16,10,7,23
5451.0,23,28,13,15
6589.0,9,11,10,11
7646.0,1,16,23,1
7830.0,9,13,0,10
6265.0,13,12,2,28
6065.0,28,12,23,7
6508.0,0,29,22,9
6079.0,11,3,17,24
6895.0,3,11,6,15
5723.0,25,6,14,20
6844.0,11,11,2,17
5826.0,19,2,20,28
5864.0,12,29,6,20
7354.0,4,3,19,9
5977.0,21,16,15,9
5786.0,18,8,12,21
6275.0,15,25,23,5
