Efficiency,EMAIL,PHONE,FACETOFACE,KNOWLEDGEBASE
8144.0,6,22,0,6
5394.0,15,28,13,20
8232.0,3,4,28,4
6656.0,3,13,8,14
5661.0,18,14,6,29
5507.0,13,12,15,26
6828.0,10,16,26,4
7222.0,20,13,4,5
7483.0,23,4,5,7
5761.0,25,3,15,25
6000.0,29,11,25,9
8097.0,7,23,4,1
5854.0,6,17,29,20
5639.0,12,28,27,16
6303.0,2,24,17,10
5617.0,24,8,15,21
6726.0,25,1,28,11
5664.0,15,24,21,13
6108.0,0,29,20,14
6554.0,17,6,16,9
5598.0,17,11,27,23
5972.0,17,23,26,9
8308.0,2,18,0,8
7813.0,0,21,29,1
7717.0,23,18,0,4
6677.0,22,23,9,2
7509.0,15,23,2,4
5488.0,21,11,27,24
5284.0,21,18,27,25
5077.0,24,25,15,25
6024.0,21,4,12,20
6755.0,9,24,0,18
6444.0,19,27,21,2
5533.0,28,21,28,13
6374.0,24,3,11,14
8115.0,21,13,0,4
6603.0,6,9,24,11
5472.0,8,23,17,23
8237.0,21,0,27,1
6958.0,16,0,23,11
6267.0,2,27,26,11
5618.0,9,18,20,19
5529.0,2,28,14,28
7200.0,0,6,22,10
6312.0,9,19,5,16
6054.0,3,6,20,28
5993.0,6,7,18,24
5425.0,11,22,13,25
6922.0,3,9,9,13
7163.0,7,27,12,1
5946.0,8,23,19,12
7218.0,19,3,3,15
6460.0,22,13,1,19
7961.0,19,5,5,4
7019.0,0,6,19,12
5212.0,21,15,15,29
5566.0,27,27,14,11
6391.0,14,29,23,4
6253.0,16,18,4,15
5991.0,1,10,26,28
7781.0,6,24,3,4
5745.0,24,8,27,18
6139.0,28,4,15,13
6527.0,1,19,14,10
6058.0,15,4,15,20
7088.0,15,4,11,8
6326.0,9,10,28,14
6369.0,16,3,25,16
7028.0,1,14,0,28
5562.0,21,8,21,22
6437.0,8,25,7,11
6150.0,25,12,13,8
6428.0,17,3,26,15
6655.0,2,2,29,28
5834.0,19,14,5,24
6577.0,11,9,29,11
6062.0,4,8,14,26
5783.0,9,21,6,27
6459.0,24,20,1,14
7987.0,27,10,3,1
5776.0,29,10,19,12
6250.0,9,15,11,12
5792.0,5,24,6,29
6087.0,18,22,3,18
7073.0,10,12,1,16
6487.0,3,8,26,17
5223.0,27,21,20,18
5444.0,11,23,26,22
5758.0,16,12,22,16
7789.0,20,2,9,4
6756.0,2,26,17,5
6121.0,6,14,5,28
6164.0,19,13,22,8
7563.0,4,8,3,14
6002.0,24,19,17,6
7177.0,3,20,4,10
6572.0,14,11,16,6
5599.0,23,6,23,24
5858.0,5,16,27,20
6589.0,17,24,8,5
7399.0,27,17,2,3
6932.0,9,6,22,8
5525.0,17,22,20,15
6151.0,1,8,24,25
7448.0,9,14,20,0
6395.0,9,18,1,25
6287.0,2,10,16,18
5278.0,26,22,14,19
6001.0,17,23,20,7
6602.0,23,11,24,4
5386.0,13,17,13,28
8356.0,19,1,29,1
6297.0,18,23,12,5
5855.0,6,12,10,28
5958.0,20,13,26,11
6556.0,20,17,3,11
5721.0,2,20,19,22
5871.0,6,21,14,16
6612.0,7,0,16,23
5427.0,6,21,16,29
5527.0,29,8,22,20
5750.0,5,18,25,21
8073.0,15,4,12,1
8618.0,0,0,0,27
5242.0,28,24,19,16
5632.0,7,15,13,27
7963.0,3,1,17,7
7185.0,27,6,7,5
6562.0,11,1,14,19
5090.0,26,29,18,21
5774.0,21,21,26,11
8460.0,4,14,1,6
6090.0,7,27,9,14
5979.0,28,20,10,8
6684.0,13,17,13,4
7147.0,15,8,12,4
6443.0,21,12,2,18
6162.0,14,10,7,19
5056.0,25,29,20,24
5409.0,29,10,16,21
5308.0,26,16,16,19
6566.0,8,9,4,23
6211.0,23,24,11,5
6915.0,5,15,1,20
5768.0,12,29,7,20
6770.0,8,28,20,2
5272.0,17,21,11,28
5752.0,13,15,24,17
5844.0,19,6,9,27
7435.0,5,0,27,13
6154.0,20,4,17,15
6885.0,5,21,7,8
9042.0,11,1,5,4
6593.0,1,28,13,8
7775.0,9,18,3,4
5797.0,4,11,15,27
6455.0,26,29,2,10
5746.0,9,29,24,15
5465.0,23,20,23,15
6432.0,25,0,5,29
5110.0,23,26,17,23
5253.0,20,27,26,22
6159.0,15,0,17,26
5863.0,27,8,25,14
5964.0,27,19,25,6
6903.0,11,11,6,10
5439.0,13,26,15,19
7239.0,4,5,14,9
5530.0,15,17,19,18
5804.0,11,19,28,16
7967.0,7,0,4,16
5632.0,8,28,26,19
6576.0,16,27,0,16
7062.0,2,3,16,14
6457.0,10,19,2,19
6519.0,28,16,5,7
7560.0,11,15,1,9
6653.0,22,3,4,20
7271.0,3,17,4,10
6654.0,0,22,11,10
7101.0,14,1,4,21
8696.0,2,8,6,3
4984.0,27,25,19,28
5502.0,19,18,11,20
5558.0,21,8,28,27
5520.0,7,24,22,23
6626.0,1,14,25,11
5613.0,4,24,28,27
5142.0,28,21,22,20
6038.0,26,26,6,10
5669.0,20,18,29,16
6007.0,4,28,29,15
5758.0,24,9,14,17
6779.0,5,0,23,21
9322.0,29,3,2,0
7285.0,17,19,2,6
7107.0,9,28,23,0
6443.0,28,21,3,9
6417.0,17,19,16,4
6564.0,22,1,8,18
5185.0,22,21,23,23
8696.0,0,6,3,9
7080.0,23,13,13,0
5187.0,20,28,21,22
5870.0,24,16,4,20
6563.0,3,21,24,8
7413.0,27,24,0,4
4941.0,29,29,24,28
5735.0,2,25,23,21
5636.0,10,16,12,23
7246.0,21,28,3,3
8484.0,6,8,10,0
6470.0,0,20,3,26
7010.0,24,24,4,3
5816.0,16,18,5,23
7643.0,12,25,6,0
5965.0,27,17,5,14
5695.0,4,15,22,25
7164.0,26,2,1,19
5454.0,25,27,15,13
6045.0,8,27,24,11
7010.0,22,12,10,2
6982.0,26,13,10,1
5773.0,26,12,11,15
5777.0,19,28,15,10
6743.0,24,26,0,11
6282.0,22,9,13,9
5453.0,16,27,28,20
5945.0,21,5,8,27
5515.0,23,7,14,28
6415.0,23,4,26,11
5951.0,6,19,7,23
6218.0,20,1,18,19
7112.0,4,7,5,17
6341.0,27,8,8,11
6680.0,1,3,28,24
5971.0,6,23,7,21
5953.0,19,4,12,23
8313.0,4,10,29,0
7963.0,20,25,0,2
5273.0,14,24,27,27
6728.0,3,7,29,15
7370.0,7,13,11,3
7002.0,22,13,0,13
7245.0,20,3,8,8
5780.0,21,22,28,11
5567.0,8,14,23,28
5666.0,11,20,22,17
5709.0,18,19,12,15
9799.0,2,5,5,1
5883.0,13,13,9,20
7278.0,12,4,15,6
6468.0,2,28,24,8
5687.0,0,23,24,26
7578.0,15,3,21,3
10738.0,13,3,0,1
5898.0,24,25,2,21
5206.0,20,25,22,21
5922.0,25,20,6,13
7287.0,0,24,16,2
5703.0,21,14,14,15
6161.0,27,26,8,6
6541.0,24,19,24,1
6589.0,1,8,27,17
7580.0,8,9,2,12
6705.0,6,15,23,6
6087.0,8,16,14,13
7098.0,1,16,1,20
6254.0,22,15,1,21
5782.0,18,17,7,19
5842.0,14,22,14,12
5463.0,17,14,21,22
5408.0,28,24,16,14
6132.0,25,15,27,7
5772.0,28,19,3,22
6107.0,7,21,18,11
7077.0,2,26,1,16
7141.0,27,16,3,4
5535.0,12,10,17,29
5706.0,4,27,28,22
7079.0,1,21,28,5
5455.0,27,8,14,25
6786.0,17,19,9,3
6220.0,13,1,19,23
5329.0,23,12,22,24
5302.0,16,15,21,28
5523.0,9,14,24,28
6389.0,14,27,27,5
7759.0,5,14,25,0
5874.0,16,28,17,9
7344.0,20,18,7,0
5422.0,16,12,16,28
5361.0,19,18,27,24
5699.0,11,22,7,25
8202.0,2,6,17,2
5600.0,9,18,19,20
5576.0,20,22,8,19
6810.0,11,23,26,2
6004.0,3,23,8,21
6854.0,23,22,1,9
7687.0,2,2,2,27
6007.0,5,21,5,28
5806.0,16,12,10,19
6017.0,5,13,16,18
10377.0,22,3,0,0
5639.0,24,25,2,29
6839.0,5,23,15,4
5716.0,3,29,21,19
6022.0,9,28,16,10
5883.0,25,7,6,26
7288.0,5,3,12,11
7095.0,3,2,29,17
5533.0,21,13,8,27
6400.0,15,19,26,5
6460.0,10,1,10,26
6746.0,16,15,2,13
5441.0,13,25,19,19
5535.0,21,16,6,29
7611.0,13,5,22,2
7136.0,27,0,2,20
6807.0,2,1,20,21
7765.0,1,29,5,4
5782.0,28,12,28,13
7032.0,16,24,7,2
7179.0,21,12,7,3
6067.0,2,11,24,22
5342.0,22,10,19,27
5919.0,17,20,27,11
5701.0,22,26,2,28
7298.0,1,22,2,13
7086.0,19,5,0,22
5817.0,6,21,25,17
6467.0,25,12,27,5
7024.0,5,2,29,17
5877.0,27,19,13,8
6992.0,16,0,3,28
6772.0,16,27,10,2
5969.0,25,15,19,8
5753.0,24,15,4,25
5589.0,24,21,8,17
5259.0,23,16,21,23
6726.0,25,4,14,7
7185.0,21,6,3,11
7277.0,7,23,2,9
8209.0,4,0,23,6
6381.0,2,27,24,10
6175.0,12,7,14,16
6995.0,9,4,7,15
6531.0,27,10,10,6
7715.0,24,4,2,9
7656.0,1,29,25,0
6583.0,8,28,2,16
5507.0,16,29,11,19
5464.0,7,25,29,29
5617.0,18,8,27,27
5750.0,12,21,28,16
5878.0,27,26,0,27
6356.0,24,14,5,11
5231.0,14,26,26,28
6295.0,12,3,18,18
6054.0,5,27,17,12
9204.0,1,28,2,0
7549.0,25,19,4,0
7322.0,28,3,24,2
5560.0,4,22,15,27
6517.0,23,15,0,18
5648.0,13,13,25,21
6729.0,10,6,3,25
7781.0,11,5,28,3
5844.0,7,11,24,22
5113.0,28,19,16,24
6184.0,6,24,28,11
5634.0,18,7,15,26
5590.0,28,11,8,22
5675.0,5,19,28,26
5550.0,26,13,16,15
6169.0,25,0,23,20
7104.0,7,23,22,1
5855.0,1,25,21,18
7751.0,1,6,13,6
5659.0,1,28,18,23
5923.0,11,8,16,20
6809.0,19,12,4,10
6506.0,11,22,0,22
5583.0,19,20,24,14
7027.0,29,6,26,2
5868.0,25,11,12,13
6038.0,20,0,15,28
6027.0,10,6,17,21
6922.0,12,26,4,7
8590.0,10,6,2,6
7342.0,6,4,9,11
6563.0,11,10,26,9
5938.0,0,27,12,20
5953.0,17,24,29,10
7090.0,2,2,12,17
5009.0,21,26,18,29
5443.0,20,9,16,28
6978.0,3,5,15,12
5680.0,25,15,5,24
6840.0,12,12,11,6
6702.0,26,6,16,5
6843.0,3,6,7,20
