Efficiency,EMAIL,PHONE,FACETOFACE
7230.0,7,21,18
7488.0,26,9,9
8775.0,0,7,14
9471.0,0,6,9
8963.0,3,11,6
8900.0,27,3,4
7429.0,16,17,8
6741.0,27,17,13
7152.0,11,28,27
7798.0,20,22,3
9142.0,17,8,2
10695.0,1,6,3
8449.0,2,8,15
7551.0,20,6,18
7224.0,19,27,7
6960.0,19,15,23
7097.0,17,15,26
7264.0,19,10,22
6884.0,22,29,9
6778.0,25,20,28
7172.0,28,9,13
7928.0,2,23,9
9794.0,7,7,3
7737.0,7,13,27
7777.0,3,19,28
7117.0,16,18,28
8958.0,8,1,20
7567.0,22,8,11
7415.0,15,22,7
8207.0,11,5,25
8235.0,26,4,7
7477.0,13,29,7
9225.0,7,4,8
7350.0,5,25,23
6745.0,23,19,23
8005.0,4,10,20
6728.0,27,23,10
7463.0,21,15,7
8186.0,11,19,4
7631.0,2,23,27
11032.0,3,9,0
7232.0,23,24,6
7356.0,10,18,27
8460.0,24,11,2
7285.0,17,11,17
7389.0,19,10,13
8980.0,6,3,27
7259.0,9,25,27
7714.0,2,23,13
8026.0,11,14,7
9503.0,5,13,2
9795.0,17,0,5
6777.0,24,19,13
9555.0,11,0,9
6941.0,12,26,16
7622.0,1,28,23
8127.0,2,18,9
7632.0,20,18,5
6879.0,21,16,20
7371.0,15,12,26
6884.0,23,22,10
8437.0,11,3,16
9845.0,3,6,5
9674.0,9,0,9
7242.0,14,13,21
8511.0,14,1,16
7624.0,0,27,24
6834.0,25,14,23
8090.0,7,27,5
9801.0,1,0,18
8544.0,19,8,4
8250.0,3,12,29
6645.0,23,26,16
7985.0,13,13,7
10417.0,12,3,2
6699.0,26,23,29
8765.0,26,7,2
9994.0,2,2,9
9760.0,0,11,4
7893.0,19,4,14
8295.0,6,6,20
6620.0,27,18,23
7630.0,12,27,6
7850.0,22,25,2
7448.0,23,6,19
7487.0,10,12,17
8377.0,5,16,6
9987.0,16,7,0
7539.0,6,18,25
7011.0,18,24,29
6672.0,26,22,27
6961.0,16,26,11
7502.0,2,22,19
7090.0,25,13,28
8030.0,15,9,8
8304.0,28,4,6
7846.0,19,4,15
8820.0,8,28,1
8746.0,11,22,1
8839.0,0,6,23
6824.0,20,17,20
7330.0,26,9,29
8706.0,3,14,6
9083.0,7,21,1
7563.0,1,24,19
8873.0,2,11,7
6674.0,26,19,24
6604.0,24,27,24
8250.0,24,0,23
8604.0,1,7,19
11468.0,6,3,1
6802.0,29,23,9
8808.0,12,18,1
7186.0,16,13,18
7158.0,8,23,17
7379.0,9,24,29
6550.0,26,29,26
7389.0,4,29,21
9889.0,8,2,6
8268.0,13,4,13
9118.0,9,11,3
8690.0,20,0,29
7480.0,6,16,22
8218.0,17,3,13
6614.0,25,19,21
6885.0,22,14,18
7267.0,7,22,16
7409.0,20,7,20
8599.0,0,21,6
7666.0,27,3,22
7360.0,18,10,14
8912.0,25,0,7
6845.0,16,28,15
8226.0,14,4,13
7884.0,10,9,13
6741.0,23,17,21
6768.0,22,27,29
7570.0,13,20,7
6978.0,12,28,15
7867.0,2,15,22
9197.0,8,3,9
8229.0,0,11,18
6599.0,26,20,15
6869.0,29,27,8
8969.0,16,5,5
7244.0,9,17,18
7277.0,5,25,17
8218.0,18,19,2
6712.0,21,23,14
7054.0,23,13,27
7717.0,28,2,21
6977.0,14,28,12
7521.0,18,7,22
7485.0,9,26,9
7611.0,18,29,4
6964.0,17,23,12
7988.0,6,20,7
6767.0,19,24,23
8971.0,3,5,28
6504.0,25,24,21
7018.0,21,22,9
6579.0,28,18,20
7963.0,25,23,1
7378.0,22,11,29
8656.0,10,5,9
9315.0,6,28,0
7353.0,8,20,14
9615.0,1,11,4
8507.0,17,29,0
8835.0,5,3,22
6758.0,20,26,13
9157.0,0,9,8
8805.0,12,18,1
6682.0,24,19,24
7117.0,29,8,17
7333.0,20,10,13
8511.0,24,17,0
8993.0,5,2,22
7493.0,5,21,14
7782.0,1,17,18
8984.0,7,2,13
7607.0,13,19,7
6634.0,20,25,21
10309.0,16,5,0
7297.0,28,17,6
6848.0,22,18,26
8599.0,11,6,8
8823.0,2,26,3
8714.0,9,3,26
7819.0,23,3,17
6850.0,18,22,15
7698.0,19,5,16
8686.0,17,0,27
7872.0,1,27,29
8955.0,17,0,10
7165.0,11,25,27
9361.0,23,6,1
7105.0,29,12,10
7679.0,4,28,10
7938.0,9,26,5
7535.0,3,29,27
6743.0,23,27,28
6687.0,26,18,14
8478.0,20,0,14
6930.0,12,27,17
7193.0,15,17,12
6942.0,11,28,20
7906.0,16,12,7
8309.0,4,28,5
7111.0,19,17,11
6630.0,29,20,12
8038.0,18,3,16
7797.0,9,9,17
8431.0,2,13,9
8184.0,8,7,27
8343.0,10,17,4
8430.0,12,14,4
7539.0,18,8,13
8142.0,6,27,5
8816.0,15,3,8
11312.0,1,9,0
7140.0,27,9,26
8856.0,7,2,24
8704.0,1,16,6
7583.0,25,4,23
7812.0,16,5,23
6794.0,21,23,28
8777.0,8,2,18
7784.0,14,6,21
7022.0,19,15,15
8314.0,23,1,12
7869.0,28,26,1
10260.0,27,2,0
9003.0,3,4,25
8387.0,6,8,11
6797.0,26,25,9
6944.0,16,24,28
7735.0,10,10,25
11680.0,8,3,0
6995.0,16,22,12
6565.0,26,21,21
6657.0,21,29,20
7639.0,0,28,15
8000.0,2,16,28
6794.0,23,19,26
8281.0,24,23,0
8482.0,23,0,27
7490.0,2,25,20
6947.0,13,28,26
7593.0,11,27,7
7547.0,9,28,8
9448.0,2,25,1
7274.0,14,13,16
7673.0,27,4,14
6802.0,18,25,15
7123.0,27,9,23
8622.0,17,1,12
8536.0,13,2,26
8527.0,22,11,2
7740.0,12,8,16
7782.0,13,7,23
9187.0,1,3,17
8369.0,2,8,16
8097.0,2,12,24
8182.0,10,9,9
6730.0,19,22,18
7746.0,1,18,23
9667.0,2,0,21
9146.0,23,4,3
10681.0,13,3,1
8478.0,29,1,8
6755.0,27,17,13
7471.0,3,29,16
7449.0,23,27,4
8626.0,0,21,6
7718.0,14,26,5
6814.0,25,29,10
7686.0,17,6,19
7881.0,1,19,26
7848.0,3,16,13
7533.0,1,29,19
7475.0,22,6,22
6936.0,19,16,18
8309.0,6,6,20
6901.0,23,17,13
6793.0,29,14,24
7727.0,22,9,8
7364.0,11,14,24
8586.0,3,29,4
11745.0,11,0,1
8306.0,21,0,19
7932.0,3,20,9
8309.0,21,0,19
6933.0,23,15,13
6926.0,23,18,11
9228.0,16,2,6
7573.0,9,12,21
7661.0,10,10,16
9492.0,2,11,4
7010.0,14,24,27
8613.0,12,17,2
8711.0,6,26,2
7037.0,25,11,15
6907.0,27,27,8
6925.0,23,13,20
7340.0,9,15,19
7440.0,8,27,10
9136.0,6,1,24
6863.0,14,24,21
7740.0,14,23,5
7104.0,26,15,9
7498.0,22,6,15
8197.0,16,3,14
8716.0,15,24,0
6416.0,29,27,21
7138.0,24,10,25
7228.0,29,9,28
6832.0,16,24,18
7530.0,18,14,8
7033.0,28,19,8
6889.0,17,20,22
6768.0,29,13,21
